Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006955~immune response	89	17.281553398058254	6.569631320791008E-50	IL18, TLR1, TNFSF15, TLR3, IL15, NFKB2, CXCL11, IL10, CXCL10, NOD2, MYD88, CLEC4E, OASL2, OASL1, IL1B, FAS, MX1, MX2, IL1A, ICAM1, ICOSL, GBP5, IL27, GBP9, TNFRSF14, NLRP3, IL18BP, H2-T9, IL12A, OAS1B, IL12B, OAS1A, GBP4, GBP3, OAS1G, GBP2, CSF3, CXCL1, IFIH1, CCL3, SBNO2, CCL2, TNF, C3, CXCL3, CXCL2, OAS3, CCL9, CXCL9, RSAD2, ACP5, CCL8, OAS2, SP110, CX3CL1, CCL5, CCL4, CCL7, TNFRSF1B, CCL22, PROCR, TAP2, TAP1, POU2F2, BCL3, H2-T10, PTX3, DHX58, IRGM1, IL6, TNFSF4, CFB, H2-M2, IL1RN, SAMHD1, MALT1, H2-Q6, TNFSF9, H2-Q7, FCGR1, H2-Q8, CCL17, TNFSF8, DDX58, CCL12, CD55, TNFSF10, FCGR2B, IRF7, H2-T22, TGTP1, TGTP2, H2-T24, RNF19B	368	471	13588	6.977130065540478	1.3986745081964055E-46	1.3986745081964055E-46	1.1377734699530382E-46
GOTERM_BP_FAT	GO:0006952~defense response	58	11.262135922330096	3.6113149426084053E-23	TLR1, TLR3, CXCL11, IL10, CXCL10, NOD2, NOD1, MYD88, IL1B, NOS2, MX1, MX2, IL1A, NFKBIZ, IL27, SAA3, IFI47, NLRP3, RIPK2, CXCL1, CCL3, IFIH1, TNF, CCL2, C3, CXCL3, CXCL2, CXCL9, CCL8, RSAD2, SP110, CCL5, CCL4, CCL7, CCL22, TNFRSF1B, MEFV, TAP1, CLEC2D, BCL3, DHX58, IL6, IRGM1, TNFSF4, CFB, HCK, SAMHD1, MALT1, H2-Q6, H2-Q7, FCGR1, H2-Q8, STAT3, CCL17, DDX58, CCL12, CD55, FCGR2B, NUPR1, SLC7A2	368	448	13588	4.780328027950311	7.688489512813295E-20	3.8442447564066474E-20	6.254321030681674E-20
GOTERM_BP_FAT	GO:0006954~inflammatory response	37	7.184466019417475	3.6487377430002E-18	CXCL1, CCL3, TNF, CCL2, C3, CXCL3, TLR1, CXCL2, CXCL9, TLR3, CCL8, CCL5, CXCL11, CCL4, CCL7, CXCL10, NOD2, CCL22, TNFRSF1B, MYD88, MEFV, IL1B, NOS2, IL1A, NFKBIZ, IL6, TNFSF4, CFB, IL27, SAA3, NLRP3, FCGR1, STAT3, CCL12, CD55, NUPR1, SLC7A2	368	225	13588	6.071932367149758	7.768162654847426E-15	2.5893875516158085E-15	6.319132383675538E-15
GOTERM_BP_FAT	GO:0009611~response to wounding	44	8.54368932038835	3.250102689244475E-17	DCBLD2, CXCL1, CCL3, TNF, CCL2, C3, CXCL3, TLR1, CXCL2, CXCL9, GJA1, TLR3, CCL8, CX3CL1, CCL5, CXCL11, CCL4, CCL7, CXCL10, NOD2, CCL22, TNFRSF1B, MYD88, MEFV, PROCR, IL1B, NOS2, IL1A, NFKBIZ, IL6, TNFSF4, F10, CFB, IL27, SAA3, NLRP3, FCGR1, STAT3, SOD2, PLAUR, CCL12, CD55, NUPR1, SLC7A2	368	347	13588	4.681994737501566	6.919468625401487E-14	1.7298671563503718E-14	5.6287490635017084E-14
GOTERM_BP_FAT	GO:0001817~regulation of cytokine production	27	5.242718446601942	4.51505864507708E-15	TNF, ADORA2B, IL18, TLR1, TLR3, NFKB1, CX3CL1, IL10, NOD2, MYD88, NOD1, BCL3, IL1B, CASP1, IL1A, SRGN, ICOSL, IL6, CEBPB, TNFSF4, CD40, NLRP3, H2-Q6, H2-Q7, H2-Q8, DDX58, CD83, IRF1, RIPK2	368	139	13588	7.172270878949015	9.691025759650529E-12	1.9382273563905983E-12	7.882583474838611E-12
GOTERM_BP_FAT	GO:0001819~positive regulation of cytokine production	18	3.4951456310679614	3.6630703055658625E-13	TNF, ADORA2B, IL18, TLR3, CX3CL1, CD40, NLRP3, H2-Q6, H2-Q7, H2-Q8, DDX58, CD83, NOD2, NOD1, MYD88, RIPK2, IL1B, BCL3, CASP1, IL1A	368	62	13588	10.71984572230014	7.797730239289535E-10	1.299621521511085E-10	6.343148228893369E-10
GOTERM_BP_FAT	GO:0002694~regulation of leukocyte activation	26	5.048543689320388	4.559442960407707E-13	ITGAL, ADORA2B, ADORA2A, IL18, ZEB1, IL15, PNP, IL10, MYD88, FAS, ICOSL, IL6, IKZF1, IL27, TNFRSF14, MALT1, CD40, CD83, CD38, CDKN1A, FCGR2B, SLC7A2, CD274, IL12A, RIPK2, IL12B	368	154	13588	6.233907396950875	9.707571413386518E-10	1.3867962334046524E-10	7.896794329553813E-10
GOTERM_BP_FAT	GO:0050865~regulation of cell activation	26	5.048543689320388	6.161226668007564E-13	ITGAL, ADORA2B, ADORA2A, IL18, ZEB1, IL15, PNP, IL10, MYD88, FAS, ICOSL, IL6, IKZF1, IL27, TNFRSF14, MALT1, CD40, CD83, CD38, CDKN1A, FCGR2B, SLC7A2, CD274, IL12A, RIPK2, IL12B	368	156	13588	6.153985507246376	1.3118339747819618E-9	1.6397927460332085E-10	1.0671352690394542E-9
GOTERM_BP_FAT	GO:0051249~regulation of lymphocyte activation	24	4.660194174757281	5.702223133293576E-12	ITGAL, IL6, ICOSL, IKZF1, ADORA2A, IL27, IL18, MALT1, TNFRSF14, CD40, ZEB1, IL15, PNP, IL10, CD38, CD83, CDKN1A, MYD88, FCGR2B, CD274, IL12A, RIPK2, IL12B, FAS	368	144	13588	6.153985507246377	1.2140018768036498E-8	1.3488909988979003E-9	9.875489315191999E-9
GOTERM_BP_FAT	GO:0009615~response to virus	17	3.300970873786408	1.435162742103812E-10	IFIH1, SAMHD1, TLR3, RSAD2, NLRP3, H2-Q6, H2-Q7, H2-Q8, LCN2, DDX58, MYD88, ISG15, IRF7, OAS1B, TGTP1, TGTP2, OAS1A, MX1, EIF2AK2, MX2	368	76	13588	8.259296338672769	3.05546177248317E-7	3.0554621943679194E-8	2.485513128647199E-7
