Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.08,-.16,-.09,-.20,-.17,-.09,-.14,-.23,-.21,-.17,-.16,***,***,-.11,-.16,-.19
1881,-.19,-.13,.04,.06,.07,-.18,.01,-.03,-.15,-.21,-.18,-.06,-.08,-.09,-.16,.06,-.07,-.18
1882,.17,.14,.05,-.15,-.13,-.22,-.16,-.07,-.14,-.23,-.16,-.36,-.10,-.08,.08,-.08,-.15,-.18
1883,-.28,-.36,-.12,-.18,-.17,-.07,-.07,-.13,-.21,-.11,-.24,-.11,-.17,-.19,-.33,-.16,-.09,-.19
1884,-.12,-.08,-.36,-.40,-.33,-.35,-.32,-.27,-.26,-.24,-.33,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.33,-.31,-.28,-.23,-.23,-.10,-.33,-.35,-.40,-.37,-.36,-.25
1886,-.43,-.50,-.42,-.28,-.24,-.34,-.18,-.30,-.24,-.27,-.27,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.26,-.35,-.25,-.35,-.26,-.32,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.34,-.36,-.41,-.20,-.22,-.17,-.10,-.15,-.12,.02,.03,-.04,-.17,-.20,-.34,-.28,-.14,-.02
1889,-.09,.17,.06,.10,-.01,-.10,-.07,-.20,-.24,-.25,-.33,-.29,-.10,-.08,.01,.05,-.12,-.27
1890,-.41,-.44,-.40,-.29,-.39,-.24,-.27,-.39,-.36,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.33,-.46,-.17,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.29,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.27,-.33,-.25,-.14,-.24,-.22,-.19,-.19,-.34,-.31,-.32,-.58,-.27,-.21,-.20
1894,-.53,-.31,-.23,-.46,-.32,-.41,-.25,-.25,-.29,-.24,-.27,-.22,-.32,-.32,-.39,-.34,-.30,-.27
1895,-.42,-.43,-.34,-.22,-.28,-.21,-.18,-.18,-.12,-.11,-.17,-.14,-.23,-.24,-.36,-.28,-.19,-.13
