sampleName	parasiteSex	parasiteStrain	parasite_drugSensitivity_praziquantel	timepoint	rep	treatment	sampleAccession	runAccession	internalRunID
M1h_LEPZQ_1	male	LEPZQ	resistant	1hr	1	1	ERS434592	ERR570481	12699_1#1
M12h_LEPZQ_1	male	LEPZQ	resistant	12hr	1	1	ERS434593	ERR570482	12699_1#2
MCtl_LEPZQ_1	male	LEPZQ	resistant	control	1	0	ERS434594	ERR570483	12699_1#3
F3h_LEPZQ_1	female	LEPZQ	resistant	3hr	1	1	ERS434595	ERR570484	12699_1#4
F24h_LEPZQ_1	female	LEPZQ	resistant	24hr	1	1	ERS434596	ERR570485	12699_1#5
X1h_LEPZQ_1	mixed	LEPZQ	resistant	1hr	1	1	ERS434597	ERR570486	12699_1#6
X12h_LEPZQ_1	mixed	LEPZQ	resistant	12hr	1	1	ERS434598	ERR570487	12699_1#7
XCtl_LEPZQ_1	mixed	LEPZQ	resistant	control	1	0	ERS434599	ERR570488	12699_1#8
M3h_LEPZQ_1	male	LEPZQ	resistant	3hr	1	1	ERS434600	ERR570489	12699_1#9
M24h_LEPZQ_1	male	LEPZQ	resistant	24hr	1	1	ERS434601	ERR570490	12699_1#10
F1h_LEPZQ_1	female	LEPZQ	resistant	1hr	1	1	ERS434602	ERR570491	12699_1#11
F12h_LEPZQ_1	female	LEPZQ	resistant	12hr	1	1	ERS434603	ERR570492	12699_1#12
FCtl_LEPZQ_1	female	LEPZQ	resistant	control	1	0	ERS434604	ERR570493	12699_1#13
X3h_LEPZQ_1	mixed	LEPZQ	resistant	3hr	1	1	ERS434605	ERR570494	12699_1#14
X24h_LEPZQ_1	mixed	LEPZQ	resistant	24hr	1	1	ERS434606	ERR570495	12699_1#15
J30m_NMRI_1	juvenile	NMRI	refractory	30min	1	1	ERS434607	ERR570496	12699_1#16
J12h_NMRI_1	juvenile	NMRI	refractory	12hr	1	1	ERS434608	ERR570497	12699_1#17
JCtl_NMRI_1	juvenile	NMRI	refractory	control	1	0	ERS434609	ERR570498	12699_1#18
M12h_NMRI_1	male	NMRI	suseptible	12hr	1	1	ERS434610	ERR570499	12699_1#19
MCtl_NMRI_1	male	NMRI	suseptible	control	1	0	ERS434611	ERR570500	12699_1#20
F12h_NMRI_1	female	NMRI	suseptible	12hr	1	1	ERS434612	ERR570501	12699_1#21
FCtl_NMRI_1	female	NMRI	suseptible	control	1	0	ERS434613	ERR570502	12699_1#22
X3h_NMRI_1	mixed	NMRI	suseptible	3hr	1	1	ERS434614	ERR570503	12699_1#23
X24h_NMRI_1	mixed	NMRI	suseptible	24hr	1	1	ERS434615	ERR570504	12699_1#24
J3h_NMRI_1	juvenile	NMRI	refractory	3hr	1	1	ERS434675	ERR572951	12771_1#1
J24h_NMRI_1	juvenile	NMRI	refractory	24hr	1	1	ERS434676	ERR572952	12771_1#2
M3h_NMRI_1	male	NMRI	suseptible	3hr	1	1	ERS434677	ERR572953	12771_1#3
M24h_NMRI_1	male	NMRI	suseptible	24hr	1	1	ERS434678	ERR572954	12771_1#4
F3h_NMRI_1	female	NMRI	suseptible	3hr	1	1	ERS434679	ERR572955	12771_1#5
F24h_NMRI_1	female	NMRI	suseptible	24hr	1	1	ERS434680	ERR572956	12771_1#6
X30m_NMRI_1	mixed	NMRI	suseptible	30min	1	1	ERS434681	ERR572957	12771_1#7
X12h_NMRI_1	mixed	NMRI	suseptible	12hr	1	1	ERS434682	ERR572958	12771_1#8
XCtl_NMRI_1	mixed	NMRI	suseptible	control	1	0	ERS434683	ERR572959	12771_1#9
M3h_LE_1	male	LE	suseptible	3hr	1	1	ERS434684	ERR572960	12771_1#10
M24h_LE_1	male	LE	suseptible	24hr	1	1	ERS434685	ERR572961	12771_1#11
F1h_LE_1	female	LE	suseptible	1hr	1	1	ERS434686	ERR572962	12771_1#12
F12h_LE_1	female	LE	suseptible	12hr	1	1	ERS434687	ERR572963	12771_1#13
FCtl_LE_1	female	LE	suseptible	control	1	0	ERS434688	ERR572964	12771_1#14
X3h_LE_1	mixed	LE	suseptible	3hr	1	1	ERS434689	ERR572965	12771_1#15
X24h_LE_1	mixed	LE	suseptible	24hr	1	1	ERS434690	ERR572966	12771_1#16
M1h_LE_1	male	LE	suseptible	1hr	1	1	ERS434691	ERR572967	12771_1#17
M12h_LE_1	male	LE	suseptible	12hr	1	1	ERS434692	ERR572968	12771_1#18
MCtl_LE_1	male	LE	suseptible	control	1	0	ERS434693	ERR572969	12771_1#19
F3h_LE_1	female	LE	suseptible	3hr	1	1	ERS434694	ERR572970	12771_1#20
F24h_LE_1	female	LE	suseptible	24hr	1	1	ERS434695	ERR572971	12771_1#21
X1h_LE_1	mixed	LE	suseptible	1hr	1	1	ERS434696	ERR572972	12771_1#22
X12h_LE_1	mixed	LE	suseptible	12hr	1	1	ERS434697	ERR572973	12771_1#23
XCtl_LE_1	mixed	LE	suseptible	control	1	0	ERS434698	ERR572974	12771_1#24
J30m_NMRI_2	juvenile	NMRI	refractory	30min	2	1	ERS434827	ERR572999	12772_1#1
