sample	description	source	host_species	host_common_name	cell_line	subject_status	tissue_cell_type	treatment	virus_strain	timepoint_postTreament	GEO_accession
Series1_NHBE_Mock_1	SARS004-mock-3_S3	Mock treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	Mock treatment	NA	24hrs	GSM4432378
Series1_NHBE_Mock_2	SARS004-mock-2_S2	Mock treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	Mock treatment	NA	24hrs	GSM4432379
Series1_NHBE_Mock_3	SARS004-mock-1_S1	Mock treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	Mock treatment	NA	24hrs	GSM4432380
Series1_NHBE_SARS-CoV-2_1	SARS004-CoV2-3_S6	SARS-CoV-2 infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4432381
Series1_NHBE_SARS-CoV-2_2	SARS004-CoV2-2_S5	SARS-CoV-2 infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4432382
Series1_NHBE_SARS-CoV-2_3	SARS004-CoV2-1_S4	SARS-CoV-2 infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4432383
Series2_A549_Mock_1	CoV002-mock3-indexG3_S3	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4432384
Series2_A549_Mock_2	CoV002-mock2-indexG2_S2	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4432385
Series2_A549_Mock_3	CoV002-mock1-indexG1_S1	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4432386
Series2_A549_SARS-CoV-2_1	CoV002-CoV2-3-indexG6_S6	SARS-CoV-2 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 0.2)	USA-WA1/2020	24hrs	GSM4432387
Series2_A549_SARS-CoV-2_2	CoV002-CoV2-2-indexG5_S5	SARS-CoV-2 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 0.2)	USA-WA1/2020	24hrs	GSM4432388
Series2_A549_SARS-CoV-2_3	CoV002-CoV2-1-indexG4_S4	SARS-CoV-2 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 0.2)	USA-WA1/2020	24hrs	GSM4432389
Series3_A549_Mock_1	svRNA184-mock-3-indexF3_S15	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4432390
Series3_A549_Mock_2	svRNA184-mock-1-indexF1_S13	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4432391
Series3_A549_RSV_1	svRNA184-RSV-3-indexH9_S18	RSV infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	RSV infected (MOI 15)	A2	24hrs	GSM4432392
Series3_A549_RSV_2	svRNA184-RSV-1-indexF4_S16	RSV infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	RSV infected (MOI 15)	A2	24hrs	GSM4432393
Series4_A549_Mock_1	3-9-mock1-13_S20	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	09hrs	GSM4432394
Series4_A549_Mock_2	3-9-mock2-14_S1	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	09hrs	GSM4432395
Series4_A549_IAV_1	3-9-wt1-15_S2	IAV infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	IAV infected (MOI 5)	A/Puerto Rico/8/1934 (H1N1)	09hrs	GSM4432396
Series4_A549_IAV_2	3-9-wt2-16_S16	IAV infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	IAV infected (MOI 5)	A/Puerto Rico/8/1934 (H1N1)	09hrs	GSM4432397
Series5_A549_Mock_1	CoV_A549-mock3	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462336
Series5_A549_Mock_2	CoV_A549-mock2	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462337
Series5_A549_Mock_3	CoV_A549-mock1	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462338
Series5_A549_SARS-CoV-2_1	CoV_A549-SARSCoV2-3	SARS-CoV-2 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4462339
Series5_A549_SARS-CoV-2_2	CoV_A549-SARSCoV2-2	SARS-CoV-2 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4462340
Series5_A549_SARS-CoV-2_3	CoV_A549-SARSCoV2-1	SARS-CoV-2 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4462341
Series6_A549-ACE2_Mock_1	A549-Adeno-GFP-ACE2-mock3	Mock treated A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462342
Series6_A549-ACE2_Mock_2	A549-Adeno-GFP-ACE2-mock2	Mock treated A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462343
Series6_A549-ACE2_Mock_3	A549-Adeno-GFP-ACE2-mock1	Mock treated A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462344
Series6_A549-ACE2_SARS-CoV-2_1	A549-Adeno-GFP-ACE2-SARS-CoV2-3	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 0.2)	USA-WA1/2020	24hrs	GSM4462345
Series6_A549-ACE2_SARS-CoV-2_2	A549-Adeno-GFP-ACE2-SARS-CoV2-2	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 0.2)	USA-WA1/2020	24hrs	GSM4462346
Series6_A549-ACE2_SARS-CoV-2_3	A549-Adeno-GFP-ACE2-SARS-CoV2-1	SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2	homo_sapiens	human	A549-ACE2	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 0.2)	USA-WA1/2020	24hrs	GSM4462347
Series7_Calu3_Mock_1	Calu3-mock3	Mock treated Calu-3 cells	homo_sapiens	human	Calu-3	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462348
Series7_Calu3_Mock_2	Calu3-mock2	Mock treated Calu-3 cells	homo_sapiens	human	Calu-3	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462349
Series7_Calu3_Mock_3	Calu3-mock1	Mock treated Calu-3 cells	homo_sapiens	human	Calu-3	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462350
Series7_Calu3_SARS-CoV-2_1	Calu3-SARSCoV2-3	SARS-CoV-2 infected Calu-3 cells	homo_sapiens	human	Calu-3	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4462351
Series7_Calu3_SARS-CoV-2_2	Calu3-SARSCoV2-2	SARS-CoV-2 infected Calu-3 cells	homo_sapiens	human	Calu-3	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4462352
Series7_Calu3_SARS-CoV-2_3	Calu3-SARSCoV2-1	SARS-CoV-2 infected Calu-3 cells	homo_sapiens	human	Calu-3	NA	Lung adenocarcinoma	SARS-CoV-2 infected (MOI 2)	USA-WA1/2020	24hrs	GSM4462353
Series8_A549_Mock_1	RSV_A549-mock3	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462354
Series8_A549_Mock_2	RSV_A549-mock2	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462355
Series8_A549_Mock_3	RSV_A549-mock1	Mock treated A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	Mock treatment	NA	24hrs	GSM4462356
Series8_A549_RSV_1	RSV_A549-RSV-MOI2-3	RSV infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	RSV infected (MOI 2)	A2	24hrs	GSM4462357
Series8_A549_RSV_2	RSV_A549-RSV-MOI2-2	RSV infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	RSV infected (MOI 2)	A2	24hrs	GSM4462358
Series8_A549_RSV_3	RSV_A549-RSV-MOI2-1	RSV infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	RSV infected (MOI 2)	A2	24hrs	GSM4462359
Series8_A549_HPIV3_3	A549-HPIV3-MOI2-1-indexD1	HPIV3 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	HPIV3 infected (MOI 3)	JS	24hrs	GSM4462360
Series8_A549_HPIV3_2	A549-HPIV3-MOI2-2-indexD2	HPIV3 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	HPIV3 infected (MOI 3)	JS	24hrs	GSM4462361
Series8_A549_HPIV3_1	A549-HPIV3-MOI2-3-indexD3	HPIV3 infected A549 cells	homo_sapiens	human	A549	NA	Lung adenocarcinoma	HPIV3 infected (MOI 3)	JS	24hrs	GSM4462362
Series9_NHBE_Mock_1	NHBE-Mock-1	Mock treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	Mock treatment	NA	12hrs	GSM4462363
Series9_NHBE_Mock_2	NHBE-Mock-2	Mock treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	Mock treatment	NA	12hrs	GSM4462364
Series9_NHBE_Mock_3	NHBE-Mock-3	Mock treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	Mock treatment	NA	12hrs	GSM4462365
Series9_NHBE_Mock_4	NHBE-Mock-4	Mock treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	Mock treatment	NA	12hrs	GSM4462366
Series9_NHBE_IAV_1	IAV-LD-1	IAV infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	IAV infected (MOI 3)	A/Puerto Rico/8/1934 (H1N1)	12hrs	GSM4462367
Series9_NHBE_IAV_2	IAV-LD-2	IAV infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	IAV infected (MOI 3)	A/Puerto Rico/8/1934 (H1N1)	12hrs	GSM4462368
Series9_NHBE_IAV_3	IAV-LD-3	IAV infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	IAV infected (MOI 3)	A/Puerto Rico/8/1934 (H1N1)	12hrs	GSM4462369
Series9_NHBE_IAV_4	IAV-LD-4	IAV infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	IAV infected (MOI 3)	A/Puerto Rico/8/1934 (H1N1)	12hrs	GSM4462370
Series9_NHBE_IAVdNS1_1	dNS1-LD-1	IAVdNS1 infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	IAVdNS1 infected (MOI 3)	A/Puerto Rico/8/1934 (H1N1) (dNS1)	12hrs	GSM4462371
Series9_NHBE_IAVdNS1_2	dNS1-LD-2	IAVdNS1 infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	IAVdNS1 infected (MOI 3)	A/Puerto Rico/8/1934 (H1N1) (dNS1)	12hrs	GSM4462372
Series9_NHBE_IAVdNS1_3	dNS1-LD-3	IAVdNS1 infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	IAVdNS1 infected (MOI 3)	A/Puerto Rico/8/1934 (H1N1) (dNS1)	12hrs	GSM4462373
Series9_NHBE_IAVdNS1_4	dNS1-LD-4	IAVdNS1 infected NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	IAVdNS1 infected (MOI 3)	A/Puerto Rico/8/1934 (H1N1) (dNS1)	12hrs	GSM4462374
Series9_NHBE_IFNB_4h_1	IFN_4_1	human IFNB treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	human IFNB treatment (100U/ml)	NA	04hrs	GSM4462375
Series9_NHBE_IFNB_4h_2	IFN_4_2	human IFNB treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	human IFNB treatment (100U/ml)	NA	04hrs	GSM4462376
Series9_NHBE_IFNB_6h_1	IFN_6_1	human IFNB treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	human IFNB treatment (100U/ml)	NA	06hrs	GSM4462377
Series9_NHBE_IFNB_6h_2	IFN_6_2	human IFNB treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	human IFNB treatment (100U/ml)	NA	06hrs	GSM4462378
Series9_NHBE_IFNB_12h_1	IFN_12_1	human IFNB treated NHBE cells	homo_sapiens	human	primary NHBE	NA	primary human bronchial epithelial cells	human IFNB treatment (100U/ml)	NA	12hrs	GSM4462379
