SampleID	SampleType	subject_id	sow_id	host_species	study_day	current_antibiotics	sow_parity	type_of_antibiotic	date_collected	pen_id	mass_g	plate_row	plate_col	plate	tube_id_aliquot	tube_id	extract_id	extract_date	dna_ng_ul	nextera_date	udi	dna_coord	index_coord	lib_ng_ul	reprep	reprep_ng_ul	final_lib_ng_ul	miniseq_pct
Pig-55412-1-RecSwb-D14_S168	Rectal swab	55412.1	55412	Pig	Day 14	Yes	4	Sow given Naxcel	9/11/20	55412	NA	F	12	2	NA	46	P2.94	6/14/22	39.8	7/19/22	Set B REF 20026930	F12	F12	1.8	No	NA	1.8	0.11
Pig-55412-1-RecSwb-D2_S142	Rectal swab	55412.1	55412	Pig	Day 2	No	4	NA	8/30/20	55412	NA	D	10	2	NA	4	P2.76	6/14/22	71.2	7/19/22	Set B REF 20026930	D10	D10	7.5	No	NA	7.5	0.54
Pig-55412-1-RecSwb-D21_S229	Rectal swab	55412.1	55412	Pig	Day 21	Yes	4	Sow given Naxcel	9/18/20	55412	NA	D	1	3	NA	61	P3.4	6/14/22	104.4	8/2/22	Set C REF 20026934	D01	D01	5.1	No	NA	5.1	0.2
Pig-55412-1-RecSwb-D4_S119	Rectal swab	55412.1	55412	Pig	Day 4	Yes	4	Sow given Naxcel	9/1/20	55412	NA	B	11	2	NA	18	P2.82	6/14/22	36.7	7/19/22	Set B REF 20026930	B11	B11	4.8	No	NA	4.8	0.4
Pig-55412-1-RecSwb-D7_S191	Rectal swab	55412.1	55412	Pig	Day 7	Yes	4	Sow given Naxcel	9/4/20	55412	NA	H	11	2	NA	32	P2.88	6/14/22	123.8	7/19/22	Set B REF 20026930	H11	H11	1.4	No	NA	1.4	0.22
Pig-55412-2-RecSwb-D2_S154	Rectal swab	55412.2	55412	Pig	Day 2	No	4	NA	8/30/20	55412	NA	E	10	2	NA	5	P2.77	6/14/22	19.6	7/19/22	Set B REF 20026930	E10	E10	14.9	No	NA	14.9	0.01
Pig-55412-2-RecSwb-D21_S241	Rectal swab	55412.2	55412	Pig	Day 21	Yes	4	Sow given Naxcel	9/18/20	55412	NA	E	1	3	NA	62	P3.5	6/14/22	31.5	8/2/22	Set C REF 20026934	E01	E01	3.4	No	NA	3.4	0.22
Pig-55412-2-RecSwb-D4_S131	Rectal swab	55412.2	55412	Pig	Day 4	Yes	4	Sow given Naxcel	9/1/20	55412	NA	C	11	2	NA	19	P2.83	6/14/22	18.7	7/19/22	Set B REF 20026930	C11	C11	6.1	No	NA	6.1	0.1
Pig-55412-2-RecSwb-D7_S108	Rectal swab	55412.2	55412	Pig	Day 7	Yes	4	Sow given Naxcel	9/4/20	55412	NA	A	12	2	NA	33	P2.89	6/14/22	57.9	7/19/22	Set B REF 20026930	A12	A12	0.9	Yes	9.1	9.1	0.45
Pig-55412-3-RecSwb-D14_S192	Rectal swab	55412.3	55412	Pig	Day 14	Yes	4	Sow given Naxcel	9/11/20	55412	NA	H	12	2	NA	48	P2.96	6/14/22	179.8	7/19/22	Set B REF 20026930	H12	H12	0.1	Yes	2.5	2.5	0.17
Pig-55412-3-RecSwb-D2_S166	Rectal swab	55412.3	55412	Pig	Day 2	No	4	NA	8/30/20	55412	NA	F	10	2	NA	6	P2.78	6/14/22	4.5	7/19/22	Set B REF 20026930	F10	F10	15.1	No	NA	15.1	0.31
Pig-55412-3-RecSwb-D21_S253	Rectal swab	55412.3	55412	Pig	Day 21	Yes	4	Sow given Naxcel	9/18/20	55412	NA	F	1	3	NA	63	P3.6	6/14/22	30.8	8/2/22	Set C REF 20026934	F01	F01	1.5	No	NA	1.5	0.18
Pig-55412-3-RecSwb-D4_S143	Rectal swab	55412.3	55412	Pig	Day 4	Yes	4	Sow given Naxcel	9/1/20	55412	NA	D	11	2	NA	20	P2.84	6/14/22	50.9	7/19/22	Set B REF 20026930	D11	D11	5.3	No	NA	5.3	0.21
Pig-55412-3-RecSwb-D7_S120	Rectal swab	55412.3	55412	Pig	Day 7	Yes	4	Sow given Naxcel	9/4/20	55412	NA	B	12	2	NA	34	P2.90	6/14/22	235.8	7/19/22	Set B REF 20026930	B12	B12	0	Yes	8.3	8.3	0.14
Pig-55412-4-RecSwb-D14_S193	Rectal swab	55412.4	55412	Pig	Day 14	Yes	4	Sow given Naxcel	9/11/20	55412	NA	A	1	3	NA	49	P3.1	6/14/22	39.2	8/2/22	Set C REF 20026934	A01	A01	4.6	No	NA	4.6	0.2
Pig-55412-4-RecSwb-D2_S178	Rectal swab	55412.4	55412	Pig	Day 2	No	4	NA	8/30/20	55412	NA	G	10	2	NA	7	P2.79	6/14/22	19	7/19/22	Set B REF 20026930	G10	G10	10.8	No	NA	10.8	0.29
Pig-55412-4-RecSwb-D21_S265	Rectal swab	55412.4	55412	Pig	Day 21	Yes	4	Sow given Naxcel	9/18/20	55412	NA	G	1	3	NA	64	P3.7	6/14/22	49.6	8/2/22	Set C REF 20026934	G01	G01	2.6	No	NA	2.6	0.1
