	Series10_FerretNW_Ctl_d1_1	Series10_FerretNW_Ctl_d1_2	Series10_FerretNW_SARS-CoV-2_d1_1	Series10_FerretNW_SARS-CoV-2_d1_2	Series11_FerretNW_Ctl_d3_1	Series11_FerretNW_Ctl_d3_2	Series11_FerretNW_SARS-CoV-2_d3_1	Series11_FerretNW_SARS-CoV-2_d3_2	Series12_FerretNW_Ctl_d7_1	Series12_FerretNW_Ctl_d7_2	Series12_FerretNW_SARS-CoV-2_d7_1	Series12_FerretNW_SARS-CoV-2_d7_2	Series12_FerretNW_IAV_d7_1	Series12_FerretNW_IAV_d7_2	Series13_FerretNW_Ctl_d14_1	Series13_FerretNW_Ctl_d14_2	Series13_FerretNW_SARS-CoV-2_d14_1	Series13_FerretNW_SARS-CoV-2_d14_2	Series14_FerretTrachea_Ctl_d3_1	Series14_FerretTrachea_Ctl_d3_2	Series14_FerretTrachea_Ctl_d3_3	Series14_FerretTrachea_Ctl_d3_4	Series14_FerretTrachea_IAV_d3_3	Series14_FerretTrachea_IAV_d3_5	Series14_FerretTrachea_IAV_d3_2	Series14_FerretTrachea_IAV_d3_1	Series14_FerretTrachea_IAV_d3_4	Series14_FerretTrachea_IAV_d3_6	Series14_FerretTrachea_SARS-CoV-2_d3_1	Series14_FerretTrachea_SARS-CoV-2_d3_2	Series14_FerretTrachea_SARS-CoV-2_d3_3	Series14_FerretTrachea_SARS-CoV-2_d3_4
ENSMPUG00000011534	0	0	0	5	0	0	0	3	1	0	0	4	3	0	0	40	29	0	292	1	2	0	1	1	8	4	0	1	0	3	9	14
ENSMPUG00000032075	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	13	6	0	0	0	0	2	0	0	0	0	0	1	0	0	0
ENSMPUG00000011550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMPUG00000011558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMPUG00000011565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0
ENSMPUG00000011568	0	0	0	0	0	0	35	0	0	0	12	10	0	0	2	282	274	40	374	1	3	6	4	14	3	10	3	5	10	11	25	14
ENSMPUG00000011583	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	3	2	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSMPUG00000011592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMPUG00000027641	1	0	7	3	2	0	0	0	2	0	0	0	0	0	0	46	80	14	1245	12	12	30	21	17	26	20	17	10	71	82	49	47
ENSMPUG00000020774	0	0	0	2	3	3	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMPUG00000011596	12	18	90	222	44	84	42	12	230	128	67	356	33	34	1	1433	1356	70	10813	3	126	85	127	149	216	149	116	86	277	274	308	263
ENSMPUG00000011604	42	62	287	909	130	285	167	80	770	222	223	362	161	56	19	1057	1256	138	2999	8	78	19	135	108	74	131	133	90	283	304	443	433
ENSMPUG00000011611	47	91	515	1749	113	564	199	123	1041	240	214	565	91	78	26	1653	1751	88	5268	2	101	13	136	169	131	174	158	156	311	271	514	465
ENSMPUG00000011627	3	15	130	170	44	80	62	30	121	73	90	287	52	12	21	2103	2243	46	21239	2	315	49	374	452	429	499	362	317	1030	420	981	895
ENSMPUG00000011634	0	0	4	0	0	6	2	0	2	4	0	22	1	1	0	137	131	23	196	0	3	4	1	7	9	4	2	2	15	16	16	27
ENSMPUG00000011639	20	20	61	27	89	38	120	9	73	74	121	133	53	94	90	3691	2887	666	32769	336	582	632	456	423	440	484	432	337	615	2215	1554	2560
ENSMPUG00000011663	0	0	0	2	9	1	5	1	3	7	0	1	0	1	0	38	41	13	423	10	10	7	2	7	3	2	5	6	3	11	12	5
ENSMPUG00000011665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMPUG00000027976	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMPUG00000019311	1	1	2	2	2	3	4	1	4	1	14	8	4	2	0	32	31	0	348	1	9	2	3	3	2	2	0	2	8	14	21	20
