Ensembl	entrez	name	symbol	B6.untreated.1	B6.untreated.2	Ripk3.untreated.1	Ripk3.untreated.2	Ripk3_Casp8.untreated.1	Ripk3_Casp8.untreated.2	B6.LPS_6hr.1	B6.LPS_6hr.2	Ripk3.LPS_6hr.1	Ripk3.LPS_6hr.2	Ripk3_Casp8.LPS_6hr.1	Ripk3_Casp8.LPS_6hr.2
1	ENSMUSG00000000001	14679	guanine nucleotide binding protein (G protein), alpha inhibiting 3	Gnai3	8.09585235774388	8.21915189653739	8.11661737250208	8.12760479155773	7.93417236465835	8.02807223264919	7.96415459471838	7.91090745634098	7.87040951866769	7.84217214406464	7.79844589174405	7.83102229855366
2	ENSMUSG00000000028	12544	cell division cycle 45	Cdc45	4.84593848154551	4.76866811960914	4.85913798534156	4.92708005236561	4.59501718779874	4.61024460533225	1.8676276710398	1.97975158235483	1.81563405686567	1.32833367647217	1.96140833709735	1.9309952316019
3	ENSMUSG00000000056	67608	nuclear prelamin A recognition factor	Narf	5.46916308987723	5.50256414870058	5.44158426135954	5.55826037820531	5.50565407229732	5.42830041434312	2.87210114761911	3.23103498249627	2.80887669069037	2.76548958173573	2.8094052436523	2.97336126240742
4	ENSMUSG00000000058	12390	caveolin 2	Cav2	7.11368604100234	7.07827857261972	7.13197070189886	7.08823835802492	7.24918959934514	7.3681237817767	5.75769364400696	5.78983974496641	5.92044098181443	5.77071809653754	6.27480304309892	6.38127791549935
5	ENSMUSG00000000078	23849	Kruppel-like factor 6	Klf6	8.87426694233394	8.88435170797253	8.88972065424355	8.858426597265	8.87897593202344	8.81204806926207	10.3767264591201	10.365327694217	10.4066582367633	10.4019336999386	10.2872845640467	10.3101440483569
6	ENSMUSG00000000085	29871	sex comb on midleg homolog 1	Scmh1	3.34318633980426	3.39444294487635	3.79186986096425	3.65902335514023	3.39495795300918	3.47500902473498	2.20204671011036	2.1707998753629	2.4228952246956	2.27045276039167	2.01941394053291	2.2850475295449
7	ENSMUSG00000000088	12858	cytochrome c oxidase subunit Va	Cox5a	6.5727468785269	6.36280032307014	6.30310901976004	6.21701880826111	6.4046210503599	6.46523860244772	6.46115218526438	6.39259304641414	6.34387819160731	6.33691966915004	6.67853987932506	6.65873540562242
8	ENSMUSG00000000127	14158	fer (fms/fps related) protein kinase	Fer	5.53810390519314	5.64466957440953	5.61110945816	5.63646849227715	5.42944632939447	5.66794619548234	4.7546684907893	4.83376488808532	4.88955036627807	4.83131070461213	4.9000077924332	5.06871588155299
9	ENSMUSG00000000131	74204	exportin 6	Xpo6	6.20926370098457	6.51037867017903	6.5679244086563	6.48587445282363	6.48333302637394	6.50545570252412	6.78077725712	6.77198041307831	6.82863706574015	6.83238267620886	6.65585998539884	6.59081396349237
10	ENSMUSG00000000134	209446	transcription factor E3	Tfe3	6.26568913444739	6.31530839839355	6.21240012878515	6.2656809269607	6.24883200979296	6.26984590694616	6.16925166947208	6.12463537668427	6.01741446636608	6.19634116397797	6.19917598432071	6.25244553379044
11	ENSMUSG00000000148	231841	BRCA1-associated ATM activator 1	Brat1	4.48767817397193	4.45476669686633	4.55833396504456	4.51808074742352	4.66958033311819	4.78630372412086	3.06418779898558	3.1539260567985	3.30778674722423	2.99725848833765	2.83385828737684	3.02798084697074
12	ENSMUSG00000000149	14673	guanine nucleotide binding protein, alpha 12	Gna12	8.23933455487238	8.40101051792462	8.44867236344553	8.37150321010235	8.54594265632611	8.55668656893094	5.5345959207543	5.53352527530984	5.53052148557282	5.50095782751543	5.65385842620628	5.57293930043284
13	ENSMUSG00000000168	235339	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	Dlat	5.980692704719	6.21423497017218	6.04537152470374	6.07679064717464	5.94237770789188	6.00222423161671	5.62483648511339	5.6076889253491	5.68979670743262	5.45900545820355	5.70335925216519	5.58967962058957
14	ENSMUSG00000000171	66925	succinate dehydrogenase complex, subunit D, integral membrane protein	Sdhd	7.51144554884935	7.27997966252449	7.19351058219257	7.16830423739979	7.17283482684849	7.21982107205591	6.71693077509538	6.61849182690723	6.54939384820679	6.58519168147078	6.7326438333483	6.67949911697451
15	ENSMUSG00000000184	12444	cyclin D2	Ccnd2	4.48767817397193	4.47369997438354	5.02582703393362	5.01266030975493	4.99705480051219	4.51040491849586	8.80547207556254	8.82723859691673	8.96794259516609	8.88249134519406	7.92215289287097	7.93591326088277
16	ENSMUSG00000000194	277463	G protein-coupled receptor 107	Gpr107	6.71352449937819	6.83788885934095	6.867999611407	6.80985495437483	6.94723452822476	6.97190808543464	6.37473285122973	6.3671970881664	6.23088221468923	6.2908723016306	6.39471022390999	6.36898837932158
17	ENSMUSG00000000204	20558	schlafen 4	Slfn4	0.968949371650858	0.821354544443488	0.881588676154956	1.09267653258642	1.64587607252692	1.15929945258278	5.88709753523803	5.99641197968836	5.83820928777111	6.08921244572152	5.60615206614392	5.66772194919816
18	ENSMUSG00000000244	27027	tetraspanin 32	Tspan32	3.45833421238978	3.50900270913921	3.06838749616166	3.37965874836586	3.35298568253387	3.33781706454114	0.264631247488386	-0.592499866616773	-0.0678519344079009	0.344453341835444	0.462602480125907	0.247179343954454
19	ENSMUSG00000000247	16870	LIM homeobox protein 2	Lhx2	0.0758645755673701	0.445206058558239	0.253557453541913	-0.22309933531935	0.628388645798079	0.348061096037947	4.74494515126498	4.68117305966337	4.84069597906339	5.01373212849008	4.82879796987422	4.93933109076996
20	ENSMUSG00000000253	66355	guanosine monophosphate reductase	Gmpr	3.90368360018469	3.78240091009891	3.87946550426199	4.01510210730408	3.85203722310495	3.87516921129348	1.25095631059131	0.651425716269316	0.028363380851402	0.918689435963542	1.19956807429211	0.842337611781498
21	ENSMUSG00000000275	217069	tripartite motif-containing 25	Trim25	6.90041424076768	6.95367517050409	7.00868781321642	6.92426799127115	6.8850863688694	6.88076619754298	8.32001601267298	8.29576272425909	8.25267631611671	8.30651387771792	8.04243762342002	7.96361574289339
22	ENSMUSG00000000276	56077	diacylglycerol kinase, epsilon	Dgke	3.98824071025962	4.09274103071106	4.11063365400773	4.13070443377676	3.91108157740234	3.85615483337483	3.30158238366128	3.38357429413775	3.77113459669881	3.50723627403374	3.35125750428536	3.34722652080478
23	ENSMUSG00000000278	74617	serine carboxypeptidase 1	Scpep1	8.47759742508999	8.46627462507457	8.34304404822912	8.21940306380631	8.29718717124784	8.32782330823257	8.01130400382187	8.02588563564183	8.00804210717187	8.05181247391633	7.9837761501258	8.04173347232401
24	ENSMUSG00000000282	17428	max binding protein	Mnt	4.22037715783667	4.00175287711531	3.87094143195545	3.98552417981741	3.46559349560224	3.7155376642673	1.04450543312388	0.585837374641739	0.746592412436022	0.467310089620978	0.50382514285242	0.996371240453919
25	ENSMUSG00000000290	16414	integrin beta 2	Itgb2	9.31856234347538	9.36337149894335	9.41704703721218	9.33812766420511	9.63010577214148	9.6357734755874	8.5520387234156	8.52110523278076	8.59245139191863	8.57209602385909	8.89353978799437	8.86603340582773
26	ENSMUSG00000000326	12846	catechol-O-methyltransferase	Comt	6.99880995196981	6.78808454860249	6.54131180179119	6.57793820664093	6.5786066730707	6.48083967408674	4.39934815048398	4.52807908144733	4.37566326544708	4.4167497354915	4.52525482099951	4.48538078657788
27	ENSMUSG00000000339	66368	RNA 3'-terminal phosphate cyclase	Rtca	4.5741154430952	4.53266889980858	4.2843750455317	4.35030613397941	4.32340469198415	4.3153689329705	4.38376813901652	4.50608635310528	4.28118139064206	4.43191618308578	4.42151238410426	4.3667827604225
28	ENSMUSG00000000340	13171	dihydrolipoamide branched chain transacylase E2	Dbt	4.30193265504722	4.31057738472849	4.28758103583079	4.35288237580844	4.11945958160933	4.24767452594754	4.02655875336448	4.15675210087726	4.18007557903568	4.18575559581639	3.85591520825003	3.81412400961685
29	ENSMUSG00000000346	23994	DAZ associated protein 2	Dazap2	7.95238152213237	7.92421227533231	7.85738607857997	7.80551213561222	7.86772520820796	7.84700435845716	7.13126867278892	7.11558569802774	7.15398515567688	7.1669002474033	7.24643109908185	7.34162207338348
30	ENSMUSG00000000355	68995	malignant T cell amplified sequence 1	Mcts1	4.93384557069494	4.91714064940037	4.74715821215786	4.6786662281113	4.81193325652952	4.79880549248122	4.14219031098686	4.05741807594515	4.28605536501053	3.80970228706806	4.23212893607627	4.32740154244853
31	ENSMUSG00000000374	216131	trafficking protein particle complex 10	Trappc10	6.75835761394906	7.01635353627561	7.02654676208069	7.04866167772311	6.87955349520057	6.93670502687169	6.30033814465282	6.29464056571746	6.35203561664137	6.25080950697262	6.37609899299409	6.38999249977952
32	ENSMUSG00000000378	216527	cerebral cavernous malformation 2	Ccm2	5.765962349487	5.8842632668972	5.78224241966476	5.8836445657982	5.90836719270531	5.95497256959275	4.59063667445629	4.60044178755051	4.60749680277036	4.55477293087132	4.8308242272872	4.71634484557623
33	ENSMUSG00000000384	21379	transforming growth factor beta regulated gene 4	Tbrg4	4.10897288737931	4.28507990149092	4.26173138498761	4.47615929799042	4.24525123098552	4.40967428644511	4.37748871652024	4.39079380065083	4.09930663274304	4.24706294011609	4.31263073877875	4.3237675479808
34	ENSMUSG00000000386	17857	MX dynamin-like GTPase 1	Mx1	5.06162520878411	5.07176946374617	5.1348661155348	5.0575727316305	6.21115023832596	5.27745909105604	10.2460369733956	10.5111675484389	10.3195340801733	10.3516052287689	10.1569225117684	10.1390599775138
35	ENSMUSG00000000399	66108	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9	Ndufa9	6.42079449581635	6.29309637909557	6.27995514360652	6.36346101144053	6.21847357913182	6.27253750295243	5.85694723816684	5.79891332859187	5.67686593548249	5.8291643689211	5.96187066526695	5.88796269967956
36	ENSMUSG00000000420	14423	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1	Galnt1	6.97275915551163	7.19182757817903	7.08391420096113	7.14024325728462	7.14004489173082	7.17640718505774	5.90029803944976	5.87295913487667	5.84483096338129	5.94072593769398	5.99387091662705	6.04628870132485
37	ENSMUSG00000000439	67027	makorin, ring finger protein, 2	Mkrn2	4.98960884221695	4.97143473448893	4.9790011778129	5.06544772411436	4.948556282821	4.88809772587759	3.4345562489307	3.26286042835166	3.33626191583471	3.47098574776438	3.627873622562	3.57828686561621
38	ENSMUSG00000000440	19016	peroxisome proliferator activated receptor gamma	Pparg	5.4008808522423	5.40533126101909	5.32160284096501	5.29712227416347	5.3622720275036	5.2558587618058	1.84959374820954	1.69873143104767	1.54990050143092	1.74741800881371	2.00512971452667	2.093469928559
39	ENSMUSG00000000441	110157	v-raf-leukemia viral oncogene 1	Raf1	6.94763783325718	6.88673756991365	6.90968975014261	6.94533274481504	6.96562979617995	6.87251040940077	6.80144659405533	6.7729016743107	6.68933688430813	6.74400424217079	6.9069872298816	6.8882702777728
40	ENSMUSG00000000489	18591	platelet derived growth factor, B polypeptide	Pdgfb	5.47698789572147	5.43461565701514	5.57220296443997	5.55154755473681	6.02655879482228	5.85555657707727	5.13569376396128	5.26417137350401	5.01227639668377	5.02627738180919	4.92677824983503	4.5798111077452
41	ENSMUSG00000000530	11482	activin A receptor, type II-like 1	Acvrl1	4.33675051482259	4.25475186188865	4.12145391753457	4.16042113922225	4.32882836393917	4.26579907388346	3.04846344669257	3.0483158688379	2.76765402796385	2.93474928685964	3.20894640660797	2.75328642396437
42	ENSMUSG00000000532	11479	activin A receptor, type 1B	Acvr1b	5.26286309036862	5.40138137479849	5.57088783669085	5.4861678325991	5.5317561748429	5.5081227745332	5.1449656149031	5.20805949393198	4.80038522979673	4.68707129548999	4.3806014658675	4.32740154244853
43	ENSMUSG00000000538	216810	target of myb1-like 2 (chicken)	Tom1l2	4.30633111894473	4.4886697070422	4.5152250236118	4.45952177375803	4.26801612211762	4.33610263172989	4.29326711544927	4.29142958054843	4.26151914366502	4.37026963363958	4.30098429780413	4.3017692304188
44	ENSMUSG00000000552	29813	zinc finger protein 385A	Zfp385a	3.75071257980572	3.47181778880556	3.51385689165447	3.7000700794469	3.19564914478578	3.3309470751741	3.616195576752	3.68704962600004	4.04858166027005	3.98445720611456	3.12556749284834	3.28130512785908
45	ENSMUSG00000000555	16402	integrin alpha 5 (fibronectin receptor alpha)	Itga5	6.091876893556	6.12603314248313	6.46123737697964	6.47409007003888	6.41102734437183	6.27432911453429	8.85079832654111	8.8343166090148	9.30546326456665	9.38148163157085	8.79397382195223	8.77880966656624
46	ENSMUSG00000000561	70465	WD repeat domain 77	Wdr77	4.63483186775558	4.64048663427745	4.86773187547956	4.81008932933122	4.67810440542473	4.71157602779835	3.74859908747119	3.84256720362132	3.75716165414621	3.75044570151128	3.92583066685128	3.9710399504973
47	ENSMUSG00000000563	11950	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	Atp5f1	7.48840418004657	7.21057151756755	7.09264669203056	7.15471113543681	7.10885869948454	7.17304984800861	7.02228856382837	6.98015050259542	6.8907507782521	6.941057248992	7.03816912987683	7.05206554112636
48	ENSMUSG00000000568	11991	heterogeneous nuclear ribonucleoprotein D	Hnrnpd	4.71641940225184	4.84916992231161	4.93265363632689	4.79311625072751	4.63497129618805	4.81366600197596	4.50105166071761	4.60044178755051	4.58789466641696	4.57881840483797	4.38336525031598	4.3667827604225
49	ENSMUSG00000000579	100040563	dynein light chain Tctex-type 1C	Dynlt1c	4.63483186775558	4.49979594502258	4.37457285450328	4.41583717350423	4.52586521099872	4.72211631242398	3.26802982395025	3.39319229669934	3.16692421138438	3.09577422897872	3.71382758367007	3.59043594828233
50	ENSMUSG00000000581	57316	C1D nuclear receptor co-repressor	C1d	5.77074476836656	5.62955388855674	5.38284047048688	5.59354394137263	5.37018445158319	5.60527101494165	4.82326855453314	4.99720055311105	4.96138768593291	4.87912368802554	4.98798143269626	5.09879549769567
51	ENSMUSG00000000594	14667	GM2 ganglioside activator protein	Gm2a	7.71992684991367	7.6594218233364	7.51812800330883	7.39364500883813	7.70832865130535	7.67253887354633	6.5157786644057	6.46392394160288	6.44321907746591	6.49058354928362	6.66724449932494	6.70974687865993
52	ENSMUSG00000000600	79264	KRIT1, ankyrin repeat containing	Krit1	4.95641017599051	5.1655776790212	4.89321059579648	4.9863540303096	4.70337854156825	4.72473939503912	5.54863685923199	5.63226345918242	5.72072578061907	5.71756016064837	5.53087450149534	5.43489992836081
53	ENSMUSG00000000605	12727	chloride channel 4-2	Clcn4-2	6.75675149628706	6.84880739057434	6.79778428522782	6.77281812917312	6.77615199731623	6.72178809150551	5.3464789216356	5.37753031780376	5.53462296677416	5.35741923313861	5.58229546564117	5.62258855488584
